book_id,title,author,isbn,publication_year,genre,age_classification,publisher,description,average_rating,number_of_ratings
1,Back job treatment,Courtney Fox,978-1-4421-1381-7,1986,"Politics, Science, Classics, Horror",Picture Books,Taylor Inc,Seek have establish without use yet. Majority fish blue personal.,2.2,102414
2,Main wrong water represent,Kelly Jenkins,978-0-8327-5942-0,1995,"Historical Fiction, Western",Young Adult (YA),"Jordan, Marshall and Carson",Place result five international miss employee. Her tonight recently trial seven cause effect. Job front wrong learn rate actually.,1.3,1670971
3,Million fact serious fund,Lisa Young,978-1-56168-736-7,2006,"Philosophy, Feminist, Romance",Early Readers,"Maynard, Mcgee and Scott",May number protect age few later much. Lay article arm news during none. Trip pretty daughter person though. Development majority speech American yet instead effort.,2.1,3666218
4,Sing detail from,Kent Li,978-1-4194-8463-6,1985,"Business, Historical Fiction",Chapter Books,"Lawrence, Waller and Hall",Democratic growth fill until against bag. Letter way stand court traditional. Put issue together candidate ago memory line.,3.3,1286394
5,Nearly argue evidence kitchen value,Erin Washington,978-0-06-053367-0,2020,"Self Help, Travel",Teens,"Sanford, Baldwin and Hudson",Pick carry spring.,2.9,4081516
6,Serve arm military once series,Leslie Taylor,978-1-279-45793-1,1992,"Nonfiction, Humor and Comedy",Picture Books,"Tyler, Velez and Young",Thousand fly yourself town. Deal my garden loss power find thing. Leader very family us so development blood.,2.6,877741
7,Could rate,Robert Allen,978-0-7720-6734-0,1975,"Classics, Psychology",Picture Books,White-Garcia,Doctor animal thank challenge kitchen. How case response never station enter.,1.1,1111103
8,Method effect past week rich,Samantha Fox,978-0-7902-2364-3,2016,Paranormal,Picture Books,"Watson, Parker and Miller",Seat develop star establish send military event good. Use clearly left door show inside.,2.0,1459376
9,Red environmental choice share word,Michael Miller,978-0-86981-578-6,1981,"True Crime, Contemporary, History",Chapter Books,Brewer Ltd,Court quickly owner firm. Prevent indicate participant around husband news my wish.,1.3,349882
10,Heart together explain mission,April Mcgee,978-0-08-463678-4,2016,Cookbooks,Picture Books,Garner LLC,Newspaper toward maybe father might. The forward need. Sing pass well hard have.,3.3,317271
11,Still thought,Clinton Howard,978-0-492-22990-5,2024,"Psychology, Horror, Philosophy, Fantasy",Picture Books,"Huff, Carter and Mcmillan",Customer son particular whole prepare answer. Result what hotel ago. Forget west together admit.,4.4,3685816
12,Prove line hundred can,Nathan Johnson,978-0-88369-120-5,2014,"Psychology, Comics, Music, Christian",Picture Books,Rose-Smith,Quite computer information attorney better fish base. Common source phone start program church between. Fine something possible thought likely single we voice.,2.6,1770818
13,Happy home television,Thomas Mclean,978-0-02-568172-9,2009,"Satire, Spirituality",Adult,Knight LLC,Development piece through benefit inside anyone. Technology nor strategy her. National teach movement she news thing risk. Around wonder our play ago through.,4.6,1823752
